Familia,Especie,Autor,Distribución
Salticidae,Acragas hieroglyphicus,"(Peckham & Peckham, 1896)", Mexico to Panama
Salticidae,Acragas quadriguttatus,"(F. O. Pickard-Cambridge, 1901)", Mexico to Panama
Salticidae,Alcmena amabilis,"C. L. Koch, 1846", Mexico
Salticidae,Amilaps mayana,"Maddison, 2019"," Mexico, Guatemala"
Salticidae,Amycus flavolineatus,"C. L. Koch, 1846", Mexico
Salticidae,Anicius chiapanecus,"Guerrero-Fuentes & Francke, 2019", Mexico
Salticidae,Anicius cielito,"Guerrero-Fuentes & Francke, 2019", Mexico
Salticidae,Anicius dolius,"Chamberlin, 1925", Mexico
Salticidae,Anicius faunus,"Guerrero-Fuentes & Francke, 2019", Mexico
Salticidae,Anicius grisae,"Guerrero-Fuentes & Francke, 2019", Mexico
Salticidae,Anicius maddisoni,"Guerrero-Fuentes & Francke, 2019", Mexico
Salticidae,Ashtabula glauca,"Simon, 1901", Mexico
Salticidae,Attidops cutleri,"Edwards, 1999"," USA, Mexico"
Salticidae,Attinella concolor,"(Banks, 1895)"," USA, Mexico"
Salticidae,Attulus cautus,"(Peckham & Peckham, 1888)", Mexico
Salticidae,Attulus cutleri,"(Prószy?ski, 1980)"," North America, Russia (Middle Siberia to Far East)"
Salticidae,Bagheera kiplingi,"Peckham & Peckham, 1896", Mexico to Costa Rica
Salticidae,Bagheera prosper,"(Peckham & Peckham, 1901)"," USA, Mexico"
Salticidae,Balmaceda minor,"(F. O. Pickard-Cambridge, 1901)", Mexico to El Salvador
Salticidae,Beata hispida,"(Peckham & Peckham, 1901)", Mexico
Salticidae,Breda milvina,"(C. L. Koch, 1846)"," Mexico, Panama, Trinidad, Brazil, Bolivia"
Salticidae,Chalcoscirtus alpicola,"(L. Koch, 1876)"," North America, Alps (Germany, Austria, Italy), Russia (Europe to Far East)"
Salticidae,Chapoda inermis,"(F. O. Pickard-Cambridge, 1901)", Mexico to Panama
Salticidae,Cheliferoides segmentatus,"F. O. Pickard-Cambridge, 1901", USA to Guatemala
Salticidae,Colonus hesperus,"(Richman & Vetter, 2004)"," USA, Mexico"
Salticidae,Colonus sylvanus,"(Hentz, 1846)", USA to Panama
Salticidae,Corythalia binotata,"(F. O. Pickard-Cambridge, 1901)", Mexico
Salticidae,Corythalia circumcincta,"(F. O. Pickard-Cambridge, 1901)", Mexico
Salticidae,Corythalia conspecta,"(Peckham & Peckham, 1896)", USA to Costa Rica
Salticidae,Corythalia cristata,"(F. O. Pickard-Cambridge, 1901)", Mexico
Salticidae,Corythalia excavata,"(F. O. Pickard-Cambridge, 1901)", Mexico
Salticidae,Corythalia nigriventer,"(F. O. Pickard-Cambridge, 1901)"," Mexico, Panama"
Salticidae,Corythalia opima,"(Peckham & Peckham, 1885)"," USA, Mexico, Guatemala, El Salvador"
Salticidae,Corythalia parvula,"(Peckham & Peckham, 1896)", Mexico to Panama
Salticidae,Corythalia penicillata,"(F. O. Pickard-Cambridge, 1901)"," Mexico, Guatemala"
Salticidae,Corythalia quadriguttata,"(F. O. Pickard-Cambridge, 1901)", Mexico to Panama
Salticidae,Cotinusa distincta,"(Peckham & Peckham, 1888)", Mexico to Peru
Salticidae,Cylistella adjacens,"(O. Pickard-Cambridge, 1896)"," Mexico, Costa Rica"
Salticidae,Cylistella scarabaeoides,"(O. Pickard-Cambridge, 1894)"," Mexico, Panama"
Salticidae,Dendryphantes pugnax,"(C. L. Koch, 1846)", Mexico
Salticidae,Dendryphantes strenuus,"(C. L. Koch, 1846)", Mexico
Salticidae,Dendryphantes zygoballoides,"Chamberlin, 1924", Mexico
Salticidae,Eris bulbosa,"(Karsch, 1880)", Mexico
Salticidae,Eris flava,"(Peckham & Peckham, 1888)", USA to Hispaniola
Salticidae,Eris tricolor,"(C. L. Koch, 1846)", Mexico
Salticidae,Eris trimaculata,"(Banks, 1898)", Mexico
Salticidae,Euophrys banksi,"Roewer, 1951", Mexico
Salticidae,Freya prominens,"(F. O. Pickard-Cambridge, 1901)", Mexico to Panama
Salticidae,Freya regia,"(Peckham & Peckham, 1896)"," Mexico, Guatemala"
Salticidae,Frigga pratensis,"(Peckham & Peckham, 1885)", Mexico to Colombia
Salticidae,Fuentes yucatan,"Ruiz & Brescovit, 2007"," Mexico, Honduras"
Salticidae,Habronattus abditus,"Griswold, 1987", Mexico
Salticidae,Habronattus aestus,"Maddison, 2017", Mexico
Salticidae,Habronattus altanus,"(Gertsch, 1934)", North America
Salticidae,Habronattus ammophilus,"(Chamberlin, 1924)", Mexico
Salticidae,Habronattus anepsius,"(Chamberlin, 1924)"," USA, Mexico"
Salticidae,Habronattus arcalorus,"Maddison & Maddison, 2016"," USA, Mexico?"
Salticidae,Habronattus aztecanus,"(Banks, 1898)", Mexico
Salticidae,Habronattus banksi,"(Peckham & Peckham, 1901)"," Mexico to Panama, Jamaica"
Salticidae,Habronattus californicus,"(Banks, 1904)"," USA, Mexico"
Salticidae,Habronattus cambridgei,"Bryant, 1948", Mexico to Guatemala
Salticidae,Habronattus carpus,"Griswold, 1987", Mexico
Salticidae,Habronattus chamela,"Maddison, 2017", Mexico
Salticidae,Habronattus clypeatus,"(Banks, 1895)"," USA, Mexico"
Salticidae,Habronattus coecatus,"(Hentz, 1846)"," USA, Mexico, Bermuda"
Salticidae,Habronattus cognatus,"(Peckham & Peckham, 1901)", North America
Salticidae,Habronattus conjunctus,"(Banks, 1898)"," USA, Mexico"
Salticidae,Habronattus contingens,"(Chamberlin, 1925)", Mexico
Salticidae,Habronattus divaricatus,"(Banks, 1898)", Mexico
Salticidae,Habronattus dorotheae,"(Gertsch & Mulaik, 1936)"," USA, Mexico"
Salticidae,Habronattus dossenus,"Griswold, 1987", Mexico
Salticidae,Habronattus elegans,"(Peckham & Peckham, 1901)"," USA, Mexico"
Salticidae,Habronattus empyrus,"Maddison, 2017", Mexico
Salticidae,Habronattus fallax,"(Peckham & Peckham, 1909)"," USA, Mexico"
Salticidae,Habronattus forticulus,"(Gertsch & Mulaik, 1936)"," USA, Mexico"
Salticidae,Habronattus geronimoi,"Griswold, 1987"," USA, Mexico, Nicaragua"
Salticidae,Habronattus gigas,"Griswold, 1987", Mexico
Salticidae,Habronattus hallani,"(Richman, 1973)"," USA, Mexico"
Salticidae,Habronattus hirsutus,"(Peckham & Peckham, 1888)", North America
Salticidae,Habronattus huastecanus,"Griswold, 1987", Mexico
Salticidae,Habronattus icenoglei,"(Griswold, 1979)"," USA, Mexico"
Salticidae,Habronattus iviei,"Griswold, 1987", Mexico
Salticidae,Habronattus kawini,"(Griswold, 1979)"," USA, Mexico"
Salticidae,Habronattus klauseri,"(Peckham & Peckham, 1901)"," USA, Mexico"
Salticidae,Habronattus mataxus,"Griswold, 1987"," USA, Mexico"
Salticidae,Habronattus mexicanus,"(Peckham & Peckham, 1896)"," USA to Panama, Caribbean"
Salticidae,Habronattus moratus,"(Gertsch & Mulaik, 1936)"," USA, Mexico"
Salticidae,Habronattus nahuatlanus,"Griswold, 1987", Mexico
Salticidae,Habronattus oregonensis,"(Peckham & Peckham, 1888)", North America
Salticidae,Habronattus pochtecanus,"Griswold, 1987", Mexico
Salticidae,Habronattus pugillis,"Griswold, 1987"," USA, Mexico"
Salticidae,Habronattus pyrrithrix,"(Chamberlin, 1924)"," USA, Mexico"
Salticidae,Habronattus renidens,"Griswold, 1987", Mexico
Salticidae,Habronattus roberti,"Maddison, 2017", Mexico
Salticidae,Habronattus schlingeri,"(Griswold, 1979)"," USA, Mexico"
Salticidae,Habronattus signatus,"(Banks, 1900)"," USA, Mexico"
Salticidae,Habronattus simplex,"(Peckham & Peckham, 1901)", Mexico
Salticidae,Habronattus sugillatus,"Griswold, 1987"," USA, Mexico"
Salticidae,Habronattus tarascanus,"Griswold, 1987", Mexico
Salticidae,Habronattus texanus,"(Chamberlin, 1924)"," USA, Mexico"
Salticidae,Habronattus tlaxcalanus,"Griswold, 1987", Mexico
Salticidae,Habronattus tranquillus,"(Peckham & Peckham, 1901)"," USA, Mexico"
Salticidae,Habronattus ustulatus,"(Griswold, 1979)"," USA, Mexico"
Salticidae,Habronattus velivolus,"Griswold, 1987", Mexico
Salticidae,Habronattus virgulatus,"Griswold, 1987"," USA, Mexico"
Salticidae,Habronattus zapotecanus,"Griswold, 1987", Mexico
Salticidae,Habronattus zebraneus,"F. O. Pickard-Cambridge, 1901", Mexico
Salticidae,Hentzia elegans,"(Keyserling, 1885)", North America
Salticidae,Hentzia fimbriata,"(F. O. Pickard-Cambridge, 1901)", USA to Colombia
Salticidae,Hentzia palmarum,"(Hentz, 1832)"," North America, Bermuda, Bahama Is., Cuba"
Salticidae,Hentzia poenitens,"(Chamberlin, 1924)", Mexico
Salticidae,Hypaeus benignus,"(Peckham & Peckham, 1885)", Mexico to Panama
Salticidae,Icius ildefonsus,"Chamberlin, 1924", Mexico
Salticidae,Leptofreya bifurcata,"(F. O. Pickard-Cambridge, 1901)"," Mexico, Panama"
Salticidae,Lyssomanes burrera,"Jiménez & Tejas, 1993", Mexico
Salticidae,Lyssomanes deinognathus,"F. O. Pickard-Cambridge, 1900", Mexico to Honduras
Salticidae,Lyssomanes diversus,"Galiano, 1980", Mexico
Salticidae,Lyssomanes elegans,"F. O. Pickard-Cambridge, 1900", Mexico to Brazil
Salticidae,Lyssomanes franckei,"Galvis, 2020", Mexico
Salticidae,Lyssomanes jemineus,"Peckham, Peckham & Wheeler, 1889", Mexico to Guyana
Salticidae,Lyssomanes leucomelas,"Mello-Leitão, 1917"," Mexico, Brazil, Argentina"
Salticidae,Lyssomanes maddisoni,"Logunov, 2014", Mexico
Salticidae,Lyssomanes malinche,"Galiano, 1980", Mexico
Salticidae,Lyssomanes mandibulatus,"F. O. Pickard-Cambridge, 1900", Mexico to Panama
Salticidae,Lyssomanes mexicanus,"Logunov, 2014", Mexico
Salticidae,Lyssomanes pescadero,"Jiménez & Tejas, 1993", Mexico
Salticidae,Lyssomanes placidus,"Peckham, Peckham & Wheeler, 1889", Mexico
Salticidae,Lyssomanes reductus,"Peckham & Peckham, 1896", Mexico to Panama
Salticidae,Lyssomanes spiralis,"F. O. Pickard-Cambridge, 1900", Mexico to Nicaragua
Salticidae,Lyssomanes temperatus,"Galiano, 1980", Mexico
Salticidae,Lyssomanes unicolor,"(Taczanowski, 1871)"," Mexico to Peru, Ecuador, Brazil"
Salticidae,Maeota setastrobilaris,"Garcilazo-Cruz & Álvarez-Padilla, 2015", Mexico
Salticidae,Marpissa pikei,"(Peckham & Peckham, 1888)"," USA, Mexico, Cuba"
Salticidae,Martella lineatipes,"F. O. Pickard-Cambridge, 1900", Mexico to Costa Rica
Salticidae,Messua felix,"(Peckham & Peckham, 1901)"," Mexico, Hawaii"
Salticidae,Messua limbata,"(Banks, 1898)"," USA, Mexico"
Salticidae,Messua pura,"(Bryant, 1948)", Mexico
Salticidae,Messua tridentata,"(F. O. Pickard-Cambridge, 1901)", Mexico
Salticidae,Metacyrba punctata,"(Peckham & Peckham, 1894)", USA to Ecuador
Salticidae,Metacyrba taeniola,"(Hentz, 1846)"," USA, Mexico"
Salticidae,Metacyrba taeniola similis,"Banks, 1904"," USA, Mexico"
Salticidae,Metacyrba venusta,"(Chickering, 1946)", Mexico to Venezuela
Salticidae,Metaphidippus apicalis,"F. O. Pickard-Cambridge, 1901", Mexico
Salticidae,Metaphidippus carmenensis,"(Chamberlin, 1924)"," USA, Mexico"
Salticidae,Metaphidippus chera,"(Chamberlin, 1924)"," USA, Mexico"
Salticidae,Metaphidippus diplacis,"(Chamberlin, 1924)"," USA, Mexico"
Salticidae,Metaphidippus dubitabilis,"(Peckham & Peckham, 1896)", Mexico
Salticidae,Metaphidippus gratus,"Bryant, 1948", Mexico
Salticidae,Metaphidippus lanceolatus,"F. O. Pickard-Cambridge, 1901", Mexico to Costa Rica
Salticidae,Metaphidippus manni,"(Peckham & Peckham, 1901)", North America
Salticidae,Metaphidippus nigropictus,"F. O. Pickard-Cambridge, 1901", Mexico
Salticidae,Mexigonus arizonensis,"(Banks, 1904)"," USA, Mexico"
Salticidae,Mexigonus dentichelis,"(F. O. Pickard-Cambridge, 1901)", Mexico
Salticidae,Mexigonus minutus,"(F. O. Pickard-Cambridge, 1901)"," USA, Mexico"
Salticidae,Mexigonus peninsulanus,"(Banks, 1898)", Mexico
Salticidae,Myrmapana centralis,"(Peckham & Peckham, 1892)", Mexico to Panama
Salticidae,Nagaina incunda,"Peckham & Peckham, 1896", Mexico to Panama
Salticidae,Naphrys acerba,"(Peckham & Peckham, 1909)"," USA, Mexico"
Salticidae,Neon reticulatus,"(Blackwall, 1853)"," North America, Europe, Turkey, Caucasus, Russia (Europe to Far East), Kazakhstan, Iran, China, Korea, Japan"
Salticidae,Nycerella delecta,"(Peckham & Peckham, 1896)", Mexico to Panama
Salticidae,Pachomius dybowskii,"(Taczanowski, 1871)"," Mexico to Ecuador, Brazil"
Salticidae,Pachomius hieroglyphicus,"(F. O. Pickard-Cambridge, 1901)", Mexico
Salticidae,Paradamoetas carus,"(Peckham & Peckham, 1892)", Mexico to El Salvador
Salticidae,Paradamoetas formicinus,"Peckham & Peckham, 1885", USA to Nicaragua
Salticidae,Paramarpissa albopilosa,"(Banks, 1902)"," USA, Mexico"
Salticidae,Paramarpissa griswoldi,"Logunov & Cutler, 1999"," USA, Mexico"
Salticidae,Paramarpissa laeta,"Logunov & Cutler, 1999", Mexico
Salticidae,Paramarpissa piratica,"(Peckham & Peckham, 1888)"," USA, Mexico"
Salticidae,Paramarpissa sarta,"Logunov & Cutler, 1999", Mexico
Salticidae,Paramarpissa tibialis,"F. O. Pickard-Cambridge, 1901", Mexico
Salticidae,Paraphidippus aurantius,"(Lucas, 1833)"," USA to Panama, Greater Antilles"
Salticidae,Paraphidippus disjunctus,"(Banks, 1898)", Mexico to Costa Rica
Salticidae,Paraphidippus fartilis,"(Peckham & Peckham, 1888)", USA to Costa Rica
Salticidae,Paraphidippus fulgidus,"(C. L. Koch, 1846)", Mexico
Salticidae,Paraphidippus funebris,"(Banks, 1898)", Mexico to Costa Rica
Salticidae,Paraphidippus fuscipes,"(C. L. Koch, 1846)", Mexico
Salticidae,Paraphidippus inermis,"F. O. Pickard-Cambridge, 1901", Mexico to Costa Rica
Salticidae,Paraphidippus laniipes,"F. O. Pickard-Cambridge, 1901", Mexico
Salticidae,Paraphidippus mexicanus,"(Peckham & Peckham, 1888)", Mexico
Salticidae,Paraphidippus nigropilosus,"(Banks, 1898)", Mexico
Salticidae,Paraphidippus nitens,"(C. L. Koch, 1846)", Mexico
Salticidae,Peckhamia americana,"(Peckham & Peckham, 1892)"," USA, Mexico, Hispaniola"
Salticidae,Peckhamia picata,"(Hentz, 1846)", North America
Salticidae,Pelegrina aeneola,"(Curtis, 1892)", North America
Salticidae,Pelegrina arizonensis,"(Peckham & Peckham, 1901)", North America
Salticidae,Pelegrina bicuspidata,"(F. O. Pickard-Cambridge, 1901)"," Mexico, Guatemala"
Salticidae,Pelegrina bunites,"Maddison, 1996"," USA, Mexico"
Salticidae,Pelegrina chaimona,"Maddison, 1996"," USA, Mexico"
Salticidae,Pelegrina clavator,"Maddison, 1996", Mexico
Salticidae,Pelegrina edrilana,"Maddison, 1996", Mexico
Salticidae,Pelegrina furcata,"(F. O. Pickard-Cambridge, 1901)"," USA, Mexico"
Salticidae,Pelegrina galathea,"(Walckenaer, 1837)"," Canada to Costa Rica, Bermuda"
Salticidae,Pelegrina kastoni,"Maddison, 1996"," USA, Mexico"
Salticidae,Pelegrina morelos,"Maddison, 1996", Mexico
Salticidae,Pelegrina neoleonis,"Maddison, 1996", Mexico
Salticidae,Pelegrina ochracea,"(F. O. Pickard-Cambridge, 1901)"," Mexico, Guatemala"
Salticidae,Pelegrina orestes,"Maddison, 1996"," USA, Mexico"
Salticidae,Pelegrina pallidata,"(F. O. Pickard-Cambridge, 1901)", Mexico to Nicaragua
Salticidae,Pelegrina sandaracina,"Maddison, 1996", Mexico to Nicaragua
Salticidae,Pelegrina variegata,"(F. O. Pickard-Cambridge, 1901)", Mexico to Panama
Salticidae,Pelegrina verecunda,"(Chamberlin & Gertsch, 1930)"," USA, Mexico"
Salticidae,Pelegrina yucatecana,"Maddison, 1996", Mexico
Salticidae,Pellenes cinctipes,"(Banks, 1898)", Mexico
Salticidae,Pellenes corticolens,"Chamberlin, 1924", Mexico
Salticidae,Pellenes lapponicus,"(Sundevall, 1833)"," North America, Alps (France, Switzerland, Austria, Italy), Northern Europe, Russia (Europe, South Siberia)"
Salticidae,Pensacola sylvestris,"(Peckham & Peckham, 1896)"," Mexico, Guatemala"
Salticidae,Phanias flavostriatus,"F. O. Pickard-Cambridge, 1901", Mexico
Salticidae,Phanias furcillatus,"(F. O. Pickard-Cambridge, 1901)", Mexico
Salticidae,Phiale bisignata,"(F. O. Pickard-Cambridge, 1901)"," Mexico, Guatemala"
Salticidae,Phidippus adonis,"Edwards, 2004", Mexico
Salticidae,Phidippus albulatus,"F. O. Pickard-Cambridge, 1901", Mexico
Salticidae,Phidippus amans,"Edwards, 2004", Mexico
Salticidae,Phidippus apacheanus,"Chamberlin & Gertsch, 1929"," USA, Mexico, Cuba"
Salticidae,Phidippus ardens,"Peckham & Peckham, 1901"," USA, Mexico"
Salticidae,Phidippus arizonensis,"(Peckham & Peckham, 1883)"," USA, Mexico"
Salticidae,Phidippus asotus,"Chamberlin & Ivie, 1933"," USA, Mexico"
Salticidae,Phidippus audax,"(Hentz, 1845)"," North America. Introduced to Hawaii, Azores, Netherlands, India (Nicobar Is.)"
Salticidae,Phidippus bidentatus,"F. O. Pickard-Cambridge, 1901", USA to Costa Rica
Salticidae,Phidippus boei,"Edwards, 2004"," USA, Mexico"
Salticidae,Phidippus californicus,"Peckham & Peckham, 1901", North America
Salticidae,Phidippus cardinalis,"(Hentz, 1845)"," USA, Mexico, possibly Panama"
Salticidae,Phidippus carneus,"Peckham & Peckham, 1896"," USA, Mexico"
Salticidae,Phidippus carolinensis,"Peckham & Peckham, 1909"," USA, Mexico"
Salticidae,Phidippus cerberus,"Edwards, 2004", Mexico
Salticidae,Phidippus clarus,"Keyserling, 1885", North America
Salticidae,Phidippus comatus,"Peckham & Peckham, 1901", North America
Salticidae,Phidippus cruentus,"F. O. Pickard-Cambridge, 1901", Mexico
Salticidae,Phidippus dianthus,"Edwards, 2004", Mexico
Salticidae,Phidippus georgii,"Peckham & Peckham, 1896", Mexico to El Salvador
Salticidae,Phidippus johnsoni,"(Peckham & Peckham, 1883)", North America
Salticidae,Phidippus maddisoni,"Edwards, 2004", Mexico
Salticidae,Phidippus mimicus,"Edwards, 2004", Mexico
Salticidae,Phidippus morpheus,"Edwards, 2004"," USA, Mexico"
Salticidae,Phidippus nikites,"Chamberlin & Ivie, 1935"," USA, Mexico"
Salticidae,Phidippus octopunctatus,"(Peckham & Peckham, 1883)"," USA, Mexico"
Salticidae,Phidippus phoenix,"Edwards, 2004"," USA, Mexico"
Salticidae,Phidippus pius,"Scheffer, 1905", USA to Costa Rica
Salticidae,Phidippus pompatus,"Edwards, 2004", Mexico
Salticidae,Phidippus texanus,"Banks, 1906"," USA, Mexico"
Salticidae,Phidippus toro,"Edwards, 1978"," USA, Mexico"
Salticidae,Phidippus tux,"Pinter, 1970"," USA, Mexico"
Salticidae,Phidippus tyrannus,"Edwards, 2004"," USA, Mexico"
Salticidae,Phidippus tyrrelli,"Peckham & Peckham, 1901", North America
Salticidae,Phidippus venus,"Edwards, 2004", Mexico
Salticidae,Phidippus zethus,"Edwards, 2004", Mexico
Salticidae,Platycryptus californicus,"(Peckham & Peckham, 1888)"," North, Central America"
Salticidae,Platycryptus magnus,"(Peckham & Peckham, 1894)", Mexico to Brazil
Salticidae,Platycryptus undatus,"(De Geer, 1778)", North America
Salticidae,Plexippus seladonicus,"C. L. Koch, 1846", Mexico
Salticidae,Plexippus taeniatus,"C. L. Koch, 1846", Mexico
Salticidae,Salticus austinensis,"Gertsch, 1936"," USA, Mexico, Central America"
Salticidae,Salticus palpalis,"(Banks, 1904)"," USA, Mexico"
Salticidae,Salticus scenicus,"(Clerck, 1757)"," North America, Europe, Russia (Europe to Far East), Caucasus, Kazakhstan, Iran"
Salticidae,Sarinda cutleri,"(Richman, 1965)"," USA, Mexico"
Salticidae,Sassacus alboguttatus,"(F. O. Pickard-Cambridge, 1901)", Mexico
Salticidae,Sassacus aztecus,"Richman, 2008", Mexico
Salticidae,Sassacus barbipes,"(Peckham & Peckham, 1888)", Mexico to Costa Rica
Salticidae,Sassacus lirios,"Richman, 2008", Mexico to Costa Rica
Salticidae,Sassacus paiutus,"(Gertsch, 1934)"," USA, Mexico"
Salticidae,Sassacus papenhoei,"Peckham & Peckham, 1895", North America
Salticidae,Sassacus samalayucae,"Richman, 2008", Mexico
Salticidae,Sassacus vitis,"(Cockerell, 1894)", Canada to Panama
Salticidae,Semiopyla cataphracta,"Simon, 1901", Mexico to Argentina
Salticidae,Sidusa nigrina,"F. O. Pickard-Cambridge, 1901", Mexico
Salticidae,Sidusa perdita,"(Banks, 1898)", Mexico
Salticidae,Sittisax ranieri,"(Peckham & Peckham, 1909)"," North America, Northern Europe, Russia (Europe to Far North-East), Mongolia, Japan"
Salticidae,Synageles mexicanus,"Cutler, 1988"," USA, Mexico"
Salticidae,Synageles noxiosus,"(Hentz, 1850)"," North America, Bahama Is."
Salticidae,Synemosyna americana,"(Peckham & Peckham, 1885)", Mexico to Venezuela
Salticidae,Synemosyna decipiens,"(O. Pickard-Cambridge, 1896)"," Mexico, Guatemala"
Salticidae,Synemosyna edwardsi,"Cutler, 1985", Mexico to Costa Rica
Salticidae,Synemosyna maddisoni,"Cutler, 1985"," Mexico, Guatemala"
Salticidae,Tarkas maculatipes,"(F. O. Pickard-Cambridge, 1901)"," Mexico, Guatemala"
Salticidae,Thiodina perian,"Bustamante & Ruiz, 2017", Mexico
Salticidae,Tomis palpalis,"F. O. Pickard-Cambridge, 1901"," Mexico, Argentina"
Salticidae,Zuniga magna,"Peckham & Peckham, 1892"," Mexico, Costa Rica to Brazil, Guyana, Peru, Argentina"
Salticidae,Zygoballus rufipes,"Peckham & Peckham, 1885", USA to Costa Rica
